Student_ID,Gender,Age,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade,Study_Hours_per_Week,Extracurricular_Activities,Internet_Access_at_Home,Parent_Education_Level,Family_Income_Level,Stress_Level (1-10),Sleep_Hours_per_Night,Department_CS,Department_Engineering,Department_Mathematics
S1000,0,22,97.36,40.61,59.61,73.69,53.17,73.4,62.84,59.8865,4,10.3,1,0,2,2,1,5.9,0,0,1
S1001,1,18,97.71,57.27,74,74.23,98.23,88,98.23,81.917,1,27.1,0,0,1,1,4,4.3,0,0,0
S1002,1,24,99.52,41.84,63.85,85.85,50,4.7,91.22,67.717,3,12.4,1,0,1,1,9,6.1,0,1,0
S1003,0,24,90.38,45.65,44.44,68.1,66.27,4.2,55.48,51.6535,4,25.5,0,1,1,1,8,4.9,0,1,0
S1004,0,23,59.41,53.13,61.77,67.66,83.98,64.3,87.43,71.403,2,13.3,1,0,2,2,6,4.5,1,0,0
S1005,1,21,60.6,70.21,64.48,87.85,52.26,54.8,67.65,68.09,3,25.3,1,0,0,2,6,5.6,0,0,1
S1006,1,24,67.01,90.85,93.74,89,54.17,15.5,87.51,82.8575,1,22.1,1,0,0,0,2,4,0,0,0
S1007,1,19,65.91,91.72,59.47,50.72,53.83,54.8,90.04,71.3685,2,16.7,1,1,0,1,5,7.8,0,1,0
S1008,0,21,97.83,76.97,62.75,57.19,79.08,97.4,57.57,65.8605,3,18.1,0,1,3,0,9,4.8,1,0,0
S1009,0,22,89.45,95.69,86.97,60.65,94.8,63.1,83.09,82.7555,1,9.4,1,0,0,0,8,7.1,0,0,0
S1010,0,23,86.2,70,85.54,67.58,77.77,44.9,93.14,79.986,2,7.9,1,1,1,1,4,8.2,0,0,0
S1011,0,20,59.3,93.34,87.9,64.57,80.18,82.8,66.17,77.6705,2,22.9,1,0,0,1,7,8.6,0,0,1
S1012,1,21,95.48,67.24,97.23,83.43,67.3,21.3,54.02,70.909,2,26.2,0,0,0,2,9,6.8,0,1,0
S1013,1,18,91.39,56.63,87.73,91.41,50.94,41.4,51.36,66.7105,3,23,0,0,3,2,5,7.9,0,0,0
S1014,1,19,58.18,94.98,64.46,59.6,51.08,52.8,55.5,63.7,3,27.8,0,1,0,0,2,6.3,1,0,0
S1015,1,18,93.56,63.28,89.29,78.15,94.42,50.5,50.21,70.567,2,27.3,1,0,0,1,2,6.5,1,0,0
S1016,0,21,63.61,70.2,70.52,68.39,55.13,92.1,66.35,68.4415,3,24.5,0,1,1,0,8,6.7,0,0,0
S1017,0,23,54.04,59.73,56.66,75.29,99.99,29.3,64.97,65.373,3,27.5,0,0,0,2,8,7.4,1,0,0
S1018,1,20,82.84,79.77,58.18,81.04,58.22,5.7,55.52,61.4295,3,9.2,1,1,1,0,8,7.3,0,0,0
S1019,1,20,82.69,99.7,53.43,94.68,83.73,91.6,82.56,80.2355,1,23.3,0,1,2,1,5,7.9,1,0,0
S1020,1,18,54.75,41.53,48.7,59.61,97.45,21.7,99.6,68.056,3,23.8,0,0,3,0,2,7.1,0,0,0
S1021,1,22,65.94,93.99,51.07,54.35,68.11,37.9,95.05,72.2395,2,8.8,0,0,0,0,10,8.4,0,0,0
S1022,1,22,99.64,40.24,43.79,81.36,86.72,53.1,62.64,59.3065,4,27.7,0,1,3,1,8,7.5,0,0,0
S1023,0,23,83.92,61.85,93.31,69.71,67.54,97.6,88.5,81.2455,1,5.2,1,1,0,1,4,8.6,1,0,0
S1024,0,20,86.5,50.12,95.86,58.15,65.25,53.5,96.84,78.4575,2,15.9,0,1,0,1,9,7.8,0,0,0
S1025,1,18,60.65,85.44,75.21,55.85,60.09,44.8,95.32,76.841,2,5.5,0,0,3,2,10,7.7,0,0,1
S1026,1,18,53.94,43.04,90.43,77.95,91.05,58.4,94.23,81.05,1,18.1,0,0,3,0,6,8.3,0,0,0
S1027,1,18,63.85,73.21,51.01,65.02,62.87,97.1,89.32,71.425,2,15.3,0,1,1,0,10,7.3,0,1,0
S1028,0,21,62.44,57.7,94.1,99.87,64.16,81.8,64.65,77.0615,2,20.6,1,0,2,1,7,4.9,0,1,0
S1029,0,23,61.73,48.02,70.38,70.3,99.95,16.9,54.18,62.437,3,24.2,1,1,3,1,3,4.4,0,0,1
S1030,0,22,59.64,86.31,44.03,60.61,66.37,80.3,74.39,66.0145,3,24.2,1,1,0,2,2,5.6,0,0,0
S1031,1,22,78.74,53.05,48.48,81.44,71.14,84.1,52.74,59.4345,4,23.1,1,0,2,1,2,8.1,0,1,0
S1032,0,21,66.41,53.42,58.54,62.21,99.5,69.1,99.92,75.3605,2,7.5,1,0,2,2,3,4.1,0,0,0
S1033,1,19,91.02,56.5,42.61,74.7,68.47,65.7,67.92,60.8405,3,15.4,0,0,0,2,7,4.8,0,1,0
S1034,0,21,59.2,75.21,58.56,74.13,68.31,44.1,97.92,75.453,2,25.4,0,1,2,2,8,4.5,1,0,0
S1035,0,23,73.23,79.58,43.6,72.68,91.39,64.2,88.66,72.686,2,21.4,0,0,0,1,4,4.2,1,0,0
S1036,0,18,50.68,41.06,54.16,89.8,65.6,73.8,70.56,64.587,3,22,1,1,2,0,3,8.1,0,0,1
S1037,1,21,74.08,54.51,55.94,60.83,61.69,12.3,55.92,54.846,4,10.7,1,1,1,1,7,5.4,0,0,1
S1038,1,18,52.79,65.86,99.66,95.22,71.16,25.7,61.86,76.036,2,13.1,1,0,2,0,3,7.6,0,0,0
S1039,0,23,98.89,59.92,54.13,89.57,85.03,19.4,83.65,70.524,2,28.9,0,0,3,1,8,4.7,0,0,1
S1040,1,24,89.53,93.05,54.35,66.66,52.16,84.1,91.5,74.415,2,26.2,1,0,2,2,4,6,0,0,0
S1041,1,23,74.51,87.26,81.21,59.03,68.7,68,98.97,82.207,1,9.1,1,1,1,0,8,4.6,1,0,0
S1042,1,20,54.33,77.55,91.56,63.98,67.31,45.1,56.61,70.0885,2,18.6,0,0,1,1,2,4,1,0,0
S1043,1,18,79.62,60.28,63.22,66.63,62.24,82.6,57.8,62.5355,3,17.3,1,1,2,1,8,7.1,0,1,0
S1044,1,22,87.94,82.04,92.54,77.85,82.71,71.7,52.12,74.6105,2,16.1,0,1,0,0,8,6.4,0,0,0
S1045,1,21,59.54,90.62,60.41,52.32,64.5,91.4,63.02,66.4695,3,16.8,1,1,2,2,10,6.1,1,0,0
S1046,1,24,78.41,75.69,51.82,95.72,80.34,7.7,91.05,74.4005,2,21.1,1,0,0,2,3,4.4,1,0,0
S1047,0,23,90.71,87.07,59.78,54.93,75.22,50.9,59.91,64.285,3,29.2,0,0,1,0,2,6.9,0,0,0
S1048,1,18,88.41,84.95,76.56,63.96,60.86,70.7,77.39,74.3145,2,26.9,0,0,2,1,7,7.9,0,1,0
S1049,1,24,90.15,74.3,62.03,55.46,63.33,20.7,72.32,64.0355,3,26.9,0,1,0,2,9,4.3,0,1,0
S1050,0,19,93.97,58.73,80.37,62.83,58.53,32.7,66.29,65.7015,3,22.6,1,1,0,1,10,6.1,0,1,0
S1051,0,20,96.88,84.75,54.22,91.88,52.83,41.9,80.92,71.7035,2,5.4,0,1,0,2,1,5.6,0,1,0
S1052,0,19,70.28,52.41,82.06,80.76,80.96,79.4,75.12,75.0925,2,16,1,0,3,1,5,8.5,1,0,0
S1053,0,23,78.44,86.77,60.85,61.37,83.64,49.4,66.74,68.2895,3,17.8,0,0,3,2,3,5.3,0,0,0
S1054,1,19,89.53,88.27,67.35,93.59,58.3,49.3,84.44,77.7435,2,26.1,1,1,3,1,9,8.7,0,0,0
S1055,0,19,84.86,89.33,73.46,90.04,80.77,43.1,64,74.7025,2,28.1,0,1,0,1,8,8.1,1,0,0
S1056,0,20,99.78,68.37,81.17,87.68,99.1,22.9,82.16,79.403,2,16.3,0,1,0,2,9,4.5,1,0,0
S1057,1,20,50.68,51.55,54.32,92.38,53.72,92.3,97.86,74.5145,2,12.5,1,1,2,2,9,6.4,1,0,0
S1058,1,20,67.76,45.98,90.16,80.98,74.52,31.8,86.45,76.561,2,13.4,0,1,3,1,10,7.2,0,0,1
S1059,1,24,64.05,84.6,83.31,75.07,86.65,56.7,70.92,77.554,2,19.5,0,1,3,0,3,7,0,0,0
S1060,0,20,63.12,93.18,54.05,68.7,52.3,14.9,87.38,69.9835,3,11.9,1,0,0,1,7,7.4,0,0,0
S1061,1,19,61.13,79.05,98.5,61.19,88.91,43.4,90.46,83.86,1,27.8,1,1,0,0,5,6.1,0,0,0
S1062,0,22,85.46,48.65,79.89,77.87,98.98,90.4,66.29,73.2555,2,15.5,1,0,0,2,6,8.5,0,1,0
S1063,1,22,54.24,96.09,67.15,94.47,54.42,99.5,85.26,81.3665,1,29.8,1,1,1,0,8,5.4,1,0,0
S1064,1,20,87.08,99.35,49.45,79.7,91.11,36.2,71.72,71.657,2,7.7,0,1,2,1,10,4.5,1,0,0
S1065,0,24,84.67,66,71.99,95.98,68.93,15.4,90.93,77.2365,2,9.7,0,0,2,2,8,8.9,1,0,0
S1066,1,21,62.54,75.69,49.89,67.85,57.21,31.4,64.77,60.7255,3,17.8,1,0,3,2,7,7.3,0,0,1
S1067,1,18,62.64,86.63,65.77,84.76,74.66,32.7,96.89,80.319,1,26.7,1,0,0,0,1,7.3,0,0,0
S1068,1,23,81.44,84.18,64.52,82.43,53.58,64.5,78.74,73.3265,2,13.8,1,0,2,2,1,8.1,1,0,0
